ID_Inventario,ID_Parcela,ID_Arbol,especie,factor_expansion,dbh_1,dbh_2,dbh,altura_total,area_basimetrica,esbeltez,estado
0,2642306,40,26,31.8309886184,16,15.9,16,10.6,0.0201061929829747,0.6625,3
0,2642306,41,26,31.8309886184,13,12.9,13,9,0.0132732289614169,0.692307692307692,4
0,2642306,42,26,14.1471060526,24.8,23.8,24.3,12.2,0.0463769761504559,0.502057613168724,3
0,2644107,1,26,127.3239544735,10.6,11.1,10.9,5.4,0.00933131557932508,0.495412844036697,4
0,2644107,2,26,31.8309886184,14.6,14.5,14.6,5.7,0.01674154725098,0.39041095890411,4
0,2644107,3,26,127.3239544735,9.5,9.9,9.7,4.5,0.00738981131940659,0.463917525773196,4
0,2644107,4,26,127.3239544735,12.3,12.2,12.3,5.6,0.01188228881404,0.455284552845528,4
0,2644107,5,26,127.3239544735,8.4,8.1,8.3,5.1,0.00541060794764502,0.614457831325301,4
0,2644107,6,26,127.3239544735,10.6,10.3,10.5,5.1,0.00865901475145687,0.485714285714286,4
0,2644107,7,26,127.3239544735,11.4,11.5,11.5,5.3,0.0103868907109313,0.460869565217391,4
0,2644107,8,26,127.3239544735,9.4,9.9,9.7,4.8,0.00738981131940659,0.494845360824742,4
0,2644107,9,26,127.3239544735,9,8.9,9,4.5,0.00636172512351933,0.5,4
0,2644107,11,26,127.3239544735,11.7,11.2,11.5,5,0.0103868907109313,0.434782608695652,4
0,2644107,12,26,127.3239544735,9.7,9.6,9.7,4.9,0.00738981131940659,0.505154639175258,4
0,2644107,13,26,127.3239544735,12,12.2,12.1,5.4,0.011499014510302,0.446280991735537,4
0,2644107,14,26,31.8309886184,13.1,13.3,13.2,6,0.0136847775990371,0.454545454545455,3
0,2644107,15,26,127.3239544735,7.6,7.7,7.7,5,0.00465662571078347,0.649350649350649,4
0,2644107,16,26,127.3239544735,11.9,12.1,12,5.6,0.0113097335529233,0.466666666666667,4
0,2644107,17,26,127.3239544735,8.6,8.6,8.6,5,0.00580880481648753,0.581395348837209,4
0,2644107,18,26,127.3239544735,8.3,8.4,8.4,4.9,0.0055417694409324,0.583333333333333,4
0,2644107,19,26,127.3239544735,8.7,8.9,8.8,5.3,0.00608212337734984,0.602272727272727,4
0,2644107,20,26,127.3239544735,10.6,11,10.8,5.5,0.00916088417786784,0.509259259259259,4
0,2644107,21,26,31.8309886184,13.7,13.9,13.8,6,0.014957122623741,0.434782608695652,4
0,2644107,22,26,31.8309886184,13.2,13.9,13.6,6.4,0.0145267244301992,0.470588235294118,4
0,2644107,23,26,31.8309886184,15.4,15.3,15.4,6.3,0.0186265028431339,0.409090909090909,3
0,2644107,24,26,31.8309886184,12.6,12.6,12.6,6.1,0.0124689812420979,0.484126984126984,3
0,2644107,25,26,31.8309886184,13.5,13.5,13.5,6.7,0.0143138815279185,0.496296296296296,3
0,2644107,26,26,31.8309886184,13.2,13.6,13.4,6.2,0.0141026094219646,0.462686567164179,4
0,2644107,27,26,31.8309886184,13.3,13.4,13.4,6.9,0.0141026094219646,0.514925373134328,3
